co-poilimeur mu seach,alternating copolymer 2.11
co-poilimeurachd mu seach,alternating copolymerization 3.11
poilimeurachd an-idheonach,anionic polymerization 3.19
macromoiliciuil ana-tachdach, atactic macromolecule 1.25
poilimeur ana-tachdach,atactic polymer 2.21
cnàimh-droma,backbone 1.34
dà-poilimeur,bipolymer 2.5
bloc,block 1.62
co-poilimeur bloc,block copolymer 2.24
macromoileciuil bhloc,block macromolecule 1.26
poilimeur bloc,block polymer 2.22
geug,branch 1.53
puing ghèige,branch point 1.54
aonad gèige,branch unit 1.55
sèine geugaichte,branched chain 1.33
poilimeur geugaichte,branched polymer 2.34
macromoileciuil bhruise,brush macromolecule 1.52
poilimeurachd cat-idheonach,cationic polymerization 3.20
sèine,chain 1.30
poilimeurachd shèine,chain polymerization 3.6
sliseadh sèine,chain scission 3.24
co-oilgimeur,co-oligomer 2.7
co-oilgimeurachd,co-oligomerization 3.5
macromoileciuil chìre,comb macromolecule 1.52
poilimeur cìre,comb polymer 2.33
poilimeurachd sèine co-dhlùthachail,condensative chain polymerization 3.6
aonad bunait rèiteachaidh,configurational base unit 1.17
aonad ath-thriallach rèiteachaidh,configurational repeating unit 1.18
sreath rèiteachaidh,configurational sequence 1.64
aonad rèiteachaidh,configurational unit 1.16
constitutional repeating unit 1.15
constitutional sequence 1.63
constitutional unit 1.14
copolymer 2.5
copolymerization 3.4
covalent network 1.58
crosslink 1.59
cyclopolymerization 3.23
decad 1.63, 1.64
degree of polymerization 1.13
depolymerization 3.25
diad 1.63, 1.64
double-strand chain 1.40
double-strand copolymer 2.31
double-strand macromolecule 1.41
double-strand polymer 2.30
end-group 1.35
f-functional branch point 1.54
f-functional branch unit 1.55
graft copolymer 2.25
graft macromolecule 1.28
graft polymer 2.23
heptad 1.63, 1.64
hexad 1.63, 1.64
homopolymer 2.4
homopolymerization 3.3
interpenetrating polymer
network 2.43
ionic copolymerization 3.18
ionic polymerization 3.17
ionomer 2.39
ionomer molecule 1.66
irregular macromolecule 1.5
irregular polymer 2.16
isotactic macromolecule 1.23
isotactic polymer 2.18
junction point 1.54
junction unit 1.27
ladder chain 1.44
ladder macromolecule 1.45
ladder polymer 2.30
linear chain 1.32
linear copolymer 2.28
linear macromolecule 1.6
linear polymer 2.27
living copolymerization 3.22
living polymerization 3
TERMINOLOGY
20
long-chain branch 1.53
long chain 1.36
loose end 1.61
macrocycle 1.57
macromolecular 1.1
macromolecule 1.1
macromonomer 2.35
macromonomer molecule 1.9
macromonomer unit 1.12
macromonomeric unit 1.12
macroradical 1.10
main chain 1.34
mer 1.8
mesogenic monomer 2.36
micronetwork 1.60
monodisperse polymer 2.13
monomer 1.8, 2.1
monomer molecule 1.3
monomer unit 1.8
monomeric unit 1.8
multi-strand chain 1.46
multi-strand macromolecule 1.47
network 1.58
network polymer 2.41
non-uniform polymer 2.14
nonad 1.63, 1.64
n-star macromolecule 1.51
n-strand chain 1.46
n-strand macromolecule 1.47
octad 1.63, 1.64
oligomer 1.2, 2.3
oligomer molecule 1.2
oligomeric 1.2
oligomerization 3.2
pendant chain 1.53
pendant group 1.56
pentad 1.63, 1.64
pentafunctional 1.54, 1.55
periodic copolymer 2.12
periodic copolymerization 3.12
physical network 1.58
polyaddition 3.8
polycondensation 3.7
polydisperse polymer 2.14
polyelectrolyte 2.38
polyelectrolyte molecule 1.65
polymer 1.1, 2.2
polymer blend 2.40
polymer molecule 1.1
polymer network 2.41
polymer-polymer complex 2.44
polymeric 1.1
polymerization 3.1
prepolymer molecule 1.11
pseudo-co-oligomer 2.8
pseudo-copolymer 2.6
quaterpolymer 2.5
radical copolymerization 3.16
radical polymerization 3.15
random copolymer 2.10
random copolymerization 3.10
regular comb macromolecule 1.52
regular macromolecule 1.4
regular oligomer molecule 1.7
regular polymer 2.15
regular star macromolecule 1.51
ring-opening copolymerization 3.14
ring-opening polymerization 3.13
segregated star macromolecule 1.51
semi-interpenetrating polymer
 network 2.42
short-chain branch 1.53
short chain 1.37
side-chain 1.53
side-group 1.56
single-strand chain 1.38
single-strand macromolecule 1.39
single-strand polymer 2.29
skeletal atom 1.49
skeletal bond 1.50
skeletal structure 1.48
spiro chain 1.42
spiro macromolecule 1.43
spiro polymer 2.30
star macromolecule 1.51
star polymer 2.32
statistical copolymer 2.9
statistical copolymerization 3.9
statistical pseudo-copolymer 2.6
stereoblock macromolecule 1.29
